lemma,ipa,english,pos,gender,module,level,note,image_url
банан,/bɑˈnɑn/,banana,noun,m,1,A1,"Б=B (new), Н=N (false friend)",
вівторок,/vʲivˈtɔrɔk/,Tuesday,noun,m,23,A1,
година,/ɦɔˈdɪnɑ/,hour,noun,f,23,A1,
зима,/zɪˈmɑ/,winter,noun,f,23,A1,Adv: взимку
лютий,/ˈlʲutɪj/,February,noun,m,23,A1,Loc: у лютому
літо,/ˈlʲitɔ/,summer,noun,n,23,A1,Adv: влітку
місяць,/ˈmʲisʲɑt͡sʲ/,month,noun,m,23,A1,Gen: місяця
неділя,/nɛˈdʲilʲɑ/,Sunday,noun,f,23,A1,
осінь,/ˈɔsʲinʲ/,autumn,noun,f,23,A1,Adv: восени
п'ятниця,/ˈpjɑtnɪt͡sʲɑ/,Friday,noun,f,23,A1,
понеділок,/pɔnɛˈdʲilɔk/,Monday,noun,m,23,A1,
рік,/rʲik/,year,noun,m,23,A1,Gen: року
середа,/sɛˈrɛdɑ/,Wednesday,noun,f,23,A1,
субота,/suˈbɔtɑ/,Saturday,noun,f,23,A1,
січень,/ˈsʲitʃɛnʲ/,January,noun,m,23,A1,Loc: у січні
тиждень,/ˈtɪʒdɛnʲ/,week,noun,m,23,A1,Gen: тижня
хвилина,/xvɪˈlɪnɑ/,minute,noun,f,23,A1,
четвер,/ˈtʃɛtvɛr/,Thursday,noun,m,23,A1,
відпочити,/vʲidpɔˈtʃɪtɪ/,to rest,verb,-,24,A1,
допомогти,/dɔpɔmɔɦˈtɪ/,to help (perf),verb,-,24,A1,
закінчити,/zɑˈkʲintʃɪtɪ/,to finish,verb,-,24,A1,
зрозуміти,/zrɔzuˈmʲitɪ/,to understand (perf),verb,-,24,A1,
могти,/mɔɦˈtɪ/,"can, to be able",verb,-,24,A1,"можу, можеш, може"
мусити,/muˈsɪtɪ/,"must, have to",verb,-,24,A1,"мушу, мусиш, мусить"
платити,/plɑˈtɪtɪ/,to pay,verb,-,24,A1,
повинен,/pɔˈvɪnɛn/,"should, ought to (m)",adj,m,24,A1,"повинна (f), повинні (pl)"
поспішати,/pɔspʲiˈʃɑtɪ/,to hurry,verb,-,24,A1,
потрібно,/pɔˈtrʲibnɔ/,it's needed,adv,-,24,A1,= треба
почекати,/pɔtʃɛˈkɑtɪ/,to wait (perf),verb,-,24,A1,
треба,/ˈtrɛbɑ/,it's necessary,adv,-,24,A1,+ dative + infinitive
вечеряти,/vɛtʃɛˈrʲɑtɪ/,to have dinner,verb,-,25,A1,
виходити,/vɪxɔˈdɪtɪ/,"to go out, leave",verb,-,25,A1,
вмиватися,/vmɪˈvɑtɪsʲɑ/,to wash (face),verb,-,25,A1,Reflexive
вставати,/vstɑˈvɑtɪ/,to get up,verb,-,25,A1,"встаю, встаєш"
голитися,/ɦɔˈlɪtɪsʲɑ/,to shave,verb,-,25,A1,Reflexive
душ,/duʃ/,shower,noun,m,25,A1,приймати душ
зазвичай,/zɑˈzvɪtʃɑj/,usually,adv,-,25,A1,
засинати,/zɑsɪˈnɑtɪ/,to fall asleep,verb,-,25,A1,
зуби,/ˈzubɪ/,teeth,noun,pl,25,A1,Singular: зуб
лягати,/lʲɑˈɦɑtɪ/,to lie down,verb,-,25,A1,лягати спати
обідати,/ɔˈbʲidɑtɪ/,to have lunch,verb,-,25,A1,
одягатися,/ɔˈdʲɑɦɑtɪsʲɑ/,to get dressed,verb,-,25,A1,Reflexive
повертатися,/pɔvɛrˈtɑtɪsʲɑ/,to return,verb,-,25,A1,Reflexive
прокидатися,/prɔkɪˈdɑtɪsʲɑ/,to wake up,verb,-,25,A1,Reflexive
роздягатися,/rɔzˈdʲɑɦɑtɪsʲɑ/,to undress,verb,-,25,A1,Reflexive
снідати,/snʲiˈdɑtɪ/,to have breakfast,verb,-,25,A1,
спочатку,/spɔˈtʃɑtku/,"first, at first",adv,-,25,A1,
чистити,/ˈtʃɪstɪtɪ/,"to clean, brush",verb,-,25,A1,чистити зуби
щодня,/ʃtʃɔˈdnʲɑ/,every day,adv,-,25,A1,
важкий,/vɑʒˈkɪj/,"hard, heavy",adj,m,26,A1,"важка (f), важке (n)"
гарний,/ˈɦɑrnɪj/,"beautiful, nice",adj,m,26,A1,"гарна (f), гарне (n)"
добрий,/ˈdɔbrɪj/,"good, kind",adj,m,26,A1,"добра (f), добре (n)"
легкий,/ˈlɛɦkɪj/,"easy, light",adj,m,26,A1,"легка (f), легке (n)"
молодий,/mɔˈlɔdɪj/,young,adj,m,26,A1,"молода (f), молоде (n)"
новий,/nɔˈvɪj/,new,adj,m,26,A1,"нова (f), нове (n)"
поганий,/pɔˈɦɑnɪj/,bad,adj,m,26,A1,"погана (f), погане (n)"
розумний,/rɔˈzumnɪj/,smart,adj,m,26,A1,"розумна (f), розумне (n)"
старий,/stɑˈrɪj/,old,adj,m,26,A1,"стара (f), старе (n)"
сумний,/ˈsumnɪj/,sad,adj,m,26,A1,"сумна (f), сумне (n)"
цікавий,/t͡sʲiˈkɑvɪj/,interesting,adj,m,26,A1,"цікава (f), цікаве (n)"
чистий,/ˈtʃɪstɪj/,clean,adj,m,26,A1,"чиста (f), чисте (n)"
щасливий,/ʃtʃɑsˈlɪvɪj/,happy,adj,m,26,A1,"щаслива (f), щасливе (n)"
високий,/vɪˈsɔkɪj/,tall,adj,m,27,A1,
вишиванка,/vɪʃɪˈvɑnkɑ/,embroidered shirt,noun,f,27,A1,Traditional
волосся,/vɔˈlɔsʲːɑ/,hair,noun,n,27,A1,"Collective, singular"
джинси,/ˈd͡ʒɪnsɪ/,jeans,noun,pl,27,A1,Always plural
кросівки,/krɔˈsʲivkɪ/,sneakers,noun,pl,27,A1,
куртка,/ˈkurtkɑ/,jacket,noun,f,27,A1,
одяг,/ˈɔdʲɑɦ/,clothes,noun,m,27,A1,Collective
очі,/ˈɔtʃʲi/,eyes,noun,pl,27,A1,Singular: око
пальто,/pɑlʲˈtɔ/,coat,noun,n,27,A1,Indeclinable
светр,/svɛtr/,sweater,noun,m,27,A1,
сорочка,/sɔˈrɔtʃkɑ/,shirt,noun,f,27,A1,
спідниця,/spʲidˈnɪt͡sʲɑ/,skirt,noun,f,27,A1,
сукня,/ˈsuknʲɑ/,dress,noun,f,27,A1,Also: плаття
футболка,/futˈbɔlkɑ/,t-shirt,noun,f,27,A1,
худий,/xuˈdɪj/,thin,adj,m,27,A1,
черевики,/tʃɛrɛˈvɪkɪ/,shoes,noun,pl,27,A1,
штани,/ʃtɑˈnɪ/,pants,noun,pl,27,A1,Always plural
веселка,/vɛˈsɛlkɑ/,rainbow,noun,f,28,A1,
вітер,/ˈvʲitɛr/,wind,noun,m,28,A1,Дме вітер
градус,/ˈɦrɑdus/,degree,noun,m,28,A1,
гроза,/ɦrɔˈzɑ/,thunderstorm,noun,f,28,A1,
дощ,/dɔʃtʃ/,rain,noun,m,28,A1,Йде дощ
жарко,/ˈʒɑrkɔ/,hot (adv),adv,-,28,A1,Impersonal
мороз,/mɔˈrɔz/,frost,noun,m,28,A1,
парасолька,/pɑrɑˈsɔlʲkɑ/,umbrella,noun,f,28,A1,
погода,/pɔˈɦɔdɑ/,weather,noun,f,28,A1,
сніг,/snʲiɦ/,snow,noun,m,28,A1,Йде сніг
сонячний,/sɔˈnʲɑtʃnɪj/,sunny,adj,m,28,A1,
температура,/tɛmpɛrɑˈturɑ/,temperature,noun,f,28,A1,
тепло,/ˈtɛplɔ/,warm (adv),adv,-,28,A1,Impersonal
туман,/tuˈmɑn/,fog,noun,m,28,A1,
хмара,/ˈxmɑrɑ/,cloud,noun,f,28,A1,
хмарний,/ˈxmɑrnɪj/,cloudy,adj,m,28,A1,
холодно,/ˈxɔlɔdnɔ/,cold (adv),adv,-,28,A1,Impersonal
бабуся,/bɑˈbusʲɑ/,grandma,noun,f,29,A1,
батьки,/ˈbɑtʲkɪ/,parents,noun,pl,29,A1,
батько,/ˈbɑtʲkɔ/,father,noun,m,29,A1,Formal
дитина,/dɪˈtɪnɑ/,child,noun,f,29,A1,Pl: діти!
дочка,/ˈdɔtʃkɑ/,daughter,noun,f,29,A1,Pl: дочки
дружина,/druˈʒɪnɑ/,wife,noun,f,29,A1,
дідусь,/dʲiˈdusʲ/,grandpa,noun,m,29,A1,
одружений,/ɔˈdruʒɛnɪj/,married (m),adj,m,29,A1,одружена (f)
родич,/ˈrɔdɪtʃ/,relative,noun,m,29,A1,Pl: родичі
син,/sɪn/,son,noun,m,29,A1,Pl: сини
чоловік,/tʃɔlɔˈvʲik/,husband,noun,m,29,A1,Also: man
вам,/vɑm/,to you,pron,-,31,A2,Dat. of ви
дарувати,/dɑruˈvɑtɪ/,to gift (impf),verb,-,31,A2,+ dat
дати,/ˈdɑtɪ/,to give (pf),verb,-,31,A2,+ dat
дзвонити,/dzvoˈnɪtɪ/,to call (impf),verb,-,31,A2,+ dat
допомагати,/dopoˈmɑɦɑtɪ/,to help (impf),verb,-,31,A2,+ dat
здаватися,/zdɑˈvɑtɪsʲɑ/,to seem,verb,-,31,A2,+ dat
йому,/joˈmu/,to him/it,pron,-,31,A2,Dat. of він/воно
казати,/kɑˈzɑtɪ/,to tell (impf),verb,-,31,A2,+ dat
кому,/koˈmu/,to whom,pron,-,31,A2,Dat. question
мені,/meˈnʲi/,to me,pron,-,31,A2,Dat. of я
нам,/nɑm/,to us,pron,-,31,A2,Dat. of ми
подарувати,/podɑruˈvɑtɪ/,to gift (pf),verb,-,31,A2,+ dat
подзвонити,/podzvonɪtɪ/,to call (pf),verb,-,31,A2,+ dat
подобатися,/podoˈbɑtɪsʲɑ/,"to please, like",verb,-,31,A2,+ dat
показати,/pokɑˈzɑtɪ/,to show (pf),verb,-,31,A2,+ dat
показувати,/pokɑˈzuvɑtɪ/,to show (impf),verb,-,31,A2,+ dat
потрібний,/poˈtrʲibnɪj/,needed,adj,m,31,A2,+ dat for person
сказати,/skɑˈzɑtɪ/,to tell (pf),verb,-,31,A2,+ dat
тобі,/toˈbʲi/,to you,pron,-,31,A2,Dat. of ти
їй,/jij/,to her,pron,-,31,A2,Dat. of вона
їм,/jim/,to them,pron,-,31,A2,Dat. of вони
адресат,/ɑdrɛˈsɑt/,addressee,noun,m,32,A2,
допомога,/dopoˈmoɦɑ/,help,noun,f,32,A2,
запрошення,/zɑproˈʃɛnʲːɑ/,invitation,noun,n,32,A2,
клієнт,/klʲiˈjɛnt/,client,noun,m,32,A2,Dat: клієнтові
отримувач,/otrɪˈmuvɑtʃ/,recipient,noun,m,32,A2,
повідомлення,/poʋʲiˈdomlɛnʲːɑ/,message,noun,n,32,A2,
порада,/poˈrɑdɑ/,advice,noun,f,32,A2,
підтримка,/pʲidˈtrɪmkɑ/,support,noun,f,32,A2,
бракувати,/brɑkuˈvɑtɪ/,to lack,verb,-,33,A2,+ dat + gen
важко,/ˈvɑʒko/,"hard, difficult",adv,-,33,A2,+ dat
вдаватися,/vdɑˈvɑtɪsʲɑ/,to succeed,verb,-,33,A2,+ dat
весело,/ˈvɛsɛlo/,"fun, merry",adv,-,33,A2,+ dat
відповідати,/vidpoviˈdɑtɪ/,to answer,verb,-,33,A2,+ dat
досвід,/ˈdosvʲid/,experience,noun,m,33,A2,
заважати,/zɑvɑˈʒɑtɪ/,to disturb,verb,-,33,A2,+ dat
личити,/lɪˈtʃɪtɪ/,to suit/become,verb,-,33,A2,+ dat
належати,/nɑlɛˈʒɑtɪ/,to belong,verb,-,33,A2,+ dat
повідомляти,/poviˈdomlʲɑtɪ/,to inform,verb,-,33,A2,+ dat
радити,/ˈrɑdɪtɪ/,to advise,verb,-,33,A2,+ dat
снитися,/snɪˈtɪsʲɑ/,to appear in dream,verb,-,33,A2,+ dat
сумно,/ˈsumno/,sad,adv,-,33,A2,+ dat
щастити,/ʃtʃɑˈstɪtɪ/,to be lucky,verb,-,33,A2,+ dat
вами,/ˈvɑmɪ/,(with) you,pron,-,34,A2,Instr. of ви
вітатися,/viˈtɑtɪsʲɑ/,to greet,verb,-,34,A2,з + instr
з/із/зі,"/z/, /iz/, /zʲi/",with,prep,-,34,A2,+ instr
знайомитися,/znɑˈjomɪtɪsʲɑ/,to get acquainted,verb,-,34,A2,з + instr
зустрічатися,/zustriˈtʃɑtɪsʲɑ/,to meet,verb,-,34,A2,з + instr
компанія,/kompɑˈnʲijɑ/,"company, group",noun,f,34,A2,
мною,/mnoju/,(with) me,pron,-,34,A2,Instr. of я
нами,/ˈnɑmɪ/,(with) us,pron,-,34,A2,Instr. of ми
нею,/ˈnɛju/,(with) her,pron,-,34,A2,Instr. of вона
ним,/nɪm/,(with) him/it,pron,-,34,A2,Instr. of він/воно
ними,/ˈnɪmɪ/,(with) them,pron,-,34,A2,Instr. of вони
прощатися,/proʃˈtʃɑtɪsʲɑ/,to say goodbye,verb,-,34,A2,з + instr
разом,/ˈrɑzom/,together,adv,-,34,A2,
тобою,/toˈboju/,(with) you,pron,-,34,A2,Instr. of ти
удвох,/udˈvox/,the two (together),adv,-,34,A2,
утрьох,/uˈtrʲox/,the three (together),adv,-,34,A2,
автобус,/ɑfˈtobus/,bus,noun,m,35,A2,
велосипед,/vɛlosɪˈpɛd/,bicycle,noun,m,35,A2,
виделка,/vɪˈdɛlkɑ/,fork,noun,f,35,A2,
володіти,/voloˈdʲitɪ/,"to master, own",verb,-,35,A2,+ instr
голос,/ˈɦolos/,voice,noun,m,35,A2,
займатися,/zɑjmɑˈtɪsʲɑ/,to be engaged in,verb,-,35,A2,+ instr
захоплюватися,/zɑxoplʲuˈvɑtɪsʲɑ/,to be fascinated,verb,-,35,A2,+ instr
керувати,/kɛruˈvɑtɪ/,"to drive, manage",verb,-,35,A2,+ instr
кивати,/kɪˈvɑtɪ/,to nod,verb,-,35,A2,+ instr
ложка,/ˈloʒkɑ/,spoon,noun,f,35,A2,
літак,/lʲiˈtɑk/,airplane,noun,m,35,A2,
ніж,/nʲiʒ/,knife,noun,m,35,A2,
олівець,/oliˈvɛtsʲ/,pencil,noun,m,35,A2,
поїзд,/ˈpojizd/,train,noun,m,35,A2,
трамвай,/trɑmˈvɑj/,tram,noun,m,35,A2,
тролейбус,/troˈlɛjbus/,trolleybus,noun,m,35,A2,
цікавитися,/tsʲikɑˈvɪtɪsʲɑ/,to be interested,verb,-,35,A2,+ instr
шепіт,/ˈʃɛpʲit/,whisper,noun,m,35,A2,
бухгалтер,/buxˈɦɑltɛr/,accountant,noun,m,36,A2,
вважатися,/vvɑˈʒɑtɪsʲɑ/,to be considered,verb,-,36,A2,+ instr
виявитися,/vɪjɑˈvɪtɪsʲɑ/,to turn out,verb,-,36,A2,+ instr
експерт,/ɛksˈpɛrt/,expert,noun,m,36,A2,
журналіст,/ʒurnɑˈlʲist/,journalist,noun,m,36,A2,
залишатися,/zɑlɪˈʃɑtɪsʲɑ/,to remain,verb,-,36,A2,+ instr
музикант,/muzɪˈkɑnt/,musician,noun,m,36,A2,
письменник,/pɪsʲˈmɛnnɪk/,writer,noun,m,36,A2,
програміст,/proɦrɑˈmʲist/,programmer,noun,m,36,A2,
професіонал,/profɛsʲioˈnɑl/,professional,noun,m,36,A2,
підприємець,/pʲidprɪˈjɛmɛtsʲ/,entrepreneur,noun,m,36,A2,
пілот,/pʲiˈlot/,pilot,noun,m,36,A2,
служити,/sluˈʒɪtɪ/,to serve,verb,-,36,A2,+ instr
спеціаліст,/spɛtsʲiɑˈlʲist/,specialist,noun,m,36,A2,
стати,/ˈstɑtɪ/,to become,verb,-,36,A2,+ instr
художник,/xuˈdoʒnɪk/,artist,noun,m,36,A2,
юрист,/juˈrɪst/,lawyer,noun,m,36,A2,
інженер,/inʒɛˈnɛr/,engineer,noun,m,36,A2,
вздовж,/vzdoʋʒ/,along,prep,-,37,A2,+ gen
замість,/zɑˈmʲistʲ/,instead of,prep,-,37,A2,+ gen
між,/mʲiʒ/,between,prep,-,37,A2,+ instr
навколо,/nɑfˈkolo/,around,prep,-,37,A2,+ gen
над,/nɑd/,above,prep,-,37,A2,+ instr
перед,/ˈpɛrɛd/,in front of,prep,-,37,A2,+ instr
позаду,/poˈzɑdu/,behind,prep,-,37,A2,+ gen
попереду,/popɛˈrɛdu/,"in front, ahead",prep,-,37,A2,+ gen
поруч,/ˈporutʃ/,next to,adv,-,37,A2,з + instr
посеред,/poˈsɛrɛd/,in the middle,prep,-,37,A2,+ gen
під,/pʲid/,under,prep,-,37,A2,+ acc/instr
серед,/sɛˈrɛd/,among,prep,-,37,A2,+ gen
бухгалтерія,/buxɦɑlˈtɛrʲijɑ/,accounting dept,noun,f,38,A2,
ваза,/ˈvɑzɑ/,vase,noun,f,38,A2,
задоволення,/zɑdoˈvolɛnʲːɑ/,"pleasure, satisfaction",noun,n,38,A2,
кабінет,/kɑbʲiˈnɛt/,"office, study",noun,m,38,A2,
лекція,/ˈlɛktsʲijɑ/,lecture,noun,f,38,A2,
малюнок,/mɑˈlʲunok/,"drawing, picture",noun,m,38,A2,
партнер,/pɑrtˈnɛr/,partner,noun,m,38,A2,
поверх,/ˈpovɛrx/,floor (of building),noun,m,38,A2,
полиця,/poˈlɪtsʲɑ/,shelf,noun,f,38,A2,
правило,/prɑˈvɪlo/,rule,noun,n,38,A2,
протягом,/proˈtʲɑɦom/,"during, throughout",prep,-,38,A2,+ gen
секретарка,/sɛkrɛˈtɑrkɑ/,secretary (f),noun,f,38,A2,
бандероль,/bɑndɛˈrolʲ/,small parcel,noun,f,39,A2,
банкомат,/bɑnkoˈmɑt/,ATM,noun,m,39,A2,
вага,/vɑˈɦɑ/,weight,noun,f,39,A2,
виписка,/ˈvɪpɪskɑ/,statement,noun,f,39,A2,
відправити,/vʲidprɑˈvɪtɪ/,"to send, dispatch",verb,-,39,A2,+ acc
відправник,/vʲidprɑvˈnɪk/,sender,noun,m,39,A2,
відсоток,/vʲidˈsotok/,"percent, interest",noun,m,39,A2,
депозит,/dɛpoˈzɪt/,deposit,noun,m,39,A2,
доставка,/dosˈtɑfkɑ/,delivery,noun,f,39,A2,
заповнити,/zɑˈpovnɪtɪ/,to fill out,verb,-,39,A2,+ acc
зняти,/znʲɑˈtɪ/,to withdraw,verb,-,39,A2,+ acc + з + gen
квитанція,/kvɪˈtɑntsʲijɑ/,receipt,noun,f,39,A2,
комісія,/koˈmʲisʲijɑ/,commission,noun,f,39,A2,
кредит,/krɛˈdɪt/,"credit, loan",noun,m,39,A2,
курс,/kurs/,rate,noun,m,39,A2,
листівка,/lɪsˈtʲifkɑ/,postcard,noun,f,39,A2,
марка,/ˈmɑrkɑ/,stamp,noun,f,39,A2,
надіслати,/nɑdʲisˈlɑtɪ/,to send,verb,-,39,A2,+ acc + dat
обмін,/obˈmʲin/,exchange,noun,m,39,A2,
обміняти,/obmʲiˈnʲɑtɪ/,to exchange,verb,-,39,A2,+ acc + на + acc
одержувач,/odɛrˈʒuvɑtʃ/,recipient,noun,m,39,A2,
переказ,/pɛrɛˈkɑz/,transfer,noun,m,39,A2,
переказати,/pɛrɛkɑˈzɑtɪ/,to transfer,verb,-,39,A2,+ acc + dat
перерахувати,/pɛrɛrɑxuˈvɑtɪ/,"to count, recount",verb,-,39,A2,+ acc
підпис,/ˈpʲidpɪs/,signature,noun,m,39,A2,
розписатися,/rozpɪˈsɑtɪsʲɑ/,to sign,verb,-,39,A2,
індекс,/ˈindɛks/,postal code,noun,m,39,A2,
вивчити,/ˈvɪvtʃɪtɪ/,to learn (perf),verb,-,41,A2,pf of вчити
вид,/vɪd/,aspect (grammatical),noun,m,41,A2,
випити,/ˈvɪpɪtɪ/,to drink (perf),verb,-,41,A2,pf of пити
доконаний,/doˈkonɑnɪj/,perfective,adj,-,41,A2,"lit. ""finished"""
з'їсти,/ˈzjistɪ/,to eat (perf),verb,-,41,A2,pf of їсти
купити,/kuˈpɪtɪ/,to buy (perf),verb,-,41,A2,pf of купувати
недоконаний,/nɛdoˈkonɑnɪj/,imperfective,adj,-,41,A2,"lit. ""unfinished"""
приготувати,/prɪɦotuˈvɑtɪ/,to cook/prepare (perf),verb,-,41,A2,pf of готувати
вийти,/ˈvɪjtɪ/,to go out,verb,-,42,A2,
відкрити,/vʲidˈkrɪtɪ/,to open (perf),verb,-,42,A2,
відповісти,/vʲidpoˈvʲistɪ/,to answer (perf),verb,-,42,A2,pf of відповідати
закрити,/zɑˈkrɪtɪ/,to close (perf),verb,-,42,A2,
запитати,/zɑpɪˈtɑtɪ/,to ask (perf),verb,-,42,A2,pf of питати
запросити,/zɑproˈsɪtɪ/,to invite (perf),verb,-,42,A2,
знайти,/znɑjˈtɪ/,to find (perf),verb,-,42,A2,pf of шукати
кінчати,/kʲinˈtʃɑtɪ/,to finish (impf),verb,-,42,A2,
побачити,/poˈbɑtʃɪtɪ/,to see (perf),verb,-,42,A2,pf of бачити
почати,/poˈtʃɑtɪ/,to begin (perf),verb,-,42,A2,
починати,/potʃɪˈnɑtɪ/,to begin (impf),verb,-,42,A2,
почути,/poˈtʃutɪ/,to hear (perf),verb,-,42,A2,pf of чути
пояснити,/pojɑsˈnɪtɪ/,to explain (perf),verb,-,42,A2,
прийти,/prɪjˈtɪ/,to arrive (on foot),verb,-,42,A2,pf of йти
приїхати,/prɪˈjixɑtɪ/,to arrive (by transport),verb,-,42,A2,pf of їхати
розповісти,/rɔzpoˈvʲistɪ/,to tell (perf),verb,-,42,A2,
відпочивати,/vʲidpotʃɪˈvɑtɪ/,to rest (impf),verb,-,43,A2,
збирати,/zbɪˈrɑtɪ/,to gather (impf),verb,-,43,A2,
зібрати,/zʲiˈbrɑtɪ/,to gather (perf),verb,-,43,A2,
нарешті,/nɑˈrɛʃtʲi/,finally,adv,-,43,A2,
перш ніж,/pɛrʃ nʲiʒ/,before,conj,-,43,A2,+ perfective
повернутися,/povɛrˈnutɪsʲɑ/,to return (perf),verb,-,43,A2,
поки,/poˈkɪ/,while,conj,-,43,A2,
прокинутися,/proˈkɪnutɪsʲɑ/,to wake up (perf),verb,-,43,A2,
після того як,/ˈpʲislʲɑ toˈɦo jɑk/,after,conj,-,43,A2,+ perfective
раптом,/ˈrɑptom/,suddenly,adv,-,43,A2,
більше,/ˈbʲilʲʃɛ/,more,adv,-,44,A2,comp of багато
вищий,/ˈvɪʃtʃɪj/,higher/taller,adj,-,44,A2,comp of високий
гірше,/ˈɦʲirʃɛ/,worse,adv,-,44,A2,comp of погано
гірший,/ˈɦʲirʃɪj/,worse,adj,-,44,A2,comp of поганий
дешевший,/dɛˈʃɛvʃɪj/,cheaper,adj,-,44,A2,comp of дешевий
дорожчий,/doˈroʒtʃɪj/,more expensive,adj,-,44,A2,comp of дорогий
значно,/ˈznɑtʃno/,significantly,adv,-,44,A2,
краще,/ˈkrɑʃtʃɛ/,better,adv,-,44,A2,comp of добре
кращий,/ˈkrɑʃtʃɪj/,better,adj,-,44,A2,comp of добрий
менше,/ˈmɛnʃɛ/,less,adv,-,44,A2,comp of мало
молодший,/moˈlodʃɪj/,younger,adj,-,44,A2,comp of молодий
набагато,/nɑbɑˈɦɑto/,much (intensifier),adv,-,44,A2,
нижчий,/ˈnɪʒtʃɪj/,lower/shorter,adj,-,44,A2,comp of низький
повільніше,/poˈvʲilʲnʲiʃɛ/,more slowly,adv,-,44,A2,comp of повільно
старіший,/stɑˈrʲiʃɪj/,older,adj,-,44,A2,comp of старий
швидше,/ˈʃvɪdʃɛ/,faster,adv,-,44,A2,comp of швидко
надзвичайно,/nɑdzvɪˈtʃɑjno/,extraordinarily,adv,-,45,A2,
найбільше,/nɑjˈbʲilʲʃɛ/,most (adv),adv,-,45,A2,sup of багато
найбільший,/nɑjˈbʲilʲʃɪj/,biggest,adj,-,45,A2,sup of великий
найважливіший,/nɑjvɑʒˈlɪvʲiʃɪj/,most important,adj,-,45,A2,sup of важливий
найвищий,/nɑjˈvɪʃtʃɪj/,highest/tallest,adj,-,45,A2,sup of високий
найголовніший,/nɑjɦolovˈnʲiʃɪj/,most main/important,adj,-,45,A2,
найгірший,/nɑjˈɦʲirʃɪj/,worst,adj,-,45,A2,sup of поганий
найдешевший,/nɑjdɛˈʃɛvʃɪj/,cheapest,adj,-,45,A2,sup of дешевий
найдорожчий,/nɑjdoˈroʒtʃɪj/,most expensive,adj,-,45,A2,sup of дорогий
найкраще,/nɑjˈkrɑʃtʃɛ/,best (adv),adv,-,45,A2,sup of добре
найкращий,/nɑjˈkrɑʃtʃɪj/,best,adj,-,45,A2,sup of добрий
найменший,/nɑjˈmɛnʃɪj/,smallest,adj,-,45,A2,sup of малий
найцікавіший,/nɑjtsʲikɑˈvʲiʃɪj/,most interesting,adj,-,45,A2,sup of цікавий
найшвидше,/nɑjˈʃvɪdʃɛ/,fastest,adv,-,45,A2,sup of швидко
неймовірно,/nɛjmoˈvʲirno/,incredibly,adv,-,45,A2,
щонайбільше,/ʃtʃonɑjˈbʲilʲʃɛ/,at most,adv,-,45,A2,
щонайменше,/ʃtʃonɑjˈmɛnʃɛ/,at least,adv,-,45,A2,
домовитися,/domoˈvɪtɪsʲɑ/,to agree (perf),verb,-,46,A2,
домовлятися,/domovˈlʲɑtɪsʲɑ/,"to agree, arrange",verb,-,46,A2,
залишитися,/zɑlɪˈʃɪtɪsʲɑ/,to stay (perf),verb,-,46,A2,
запізнитися,/zɑpʲizˈnɪtɪsʲɑ/,to be late (perf),verb,-,46,A2,
запізнюватися,/zɑpʲizˈnʲuvɑtɪsʲɑ/,to be late (impf),verb,-,46,A2,
можливо,/moʒˈlɪvo/,"possibly, maybe",adv,-,46,A2,
обов'язково,/obovjɑzˈkovo/,"definitely, certainly",adv,-,46,A2,
помилятися,/pomɪˈlʲɑtɪsʲɑ/,to be mistaken,verb,-,46,A2,
сподіватися,/spodʲiˈvɑtɪsʲɑ/,to hope,verb,-,46,A2,
умова,/uˈmovɑ/,condition,noun,f,46,A2,
якщо,/jɑkˈʃtʃo/,if,conj,-,46,A2,
інакше,/ˈinɑkʃɛ/,otherwise,adv,-,46,A2,
б,/b/,would (after vowel),part,-,47,A2,
би,/bɪ/,would (after consonant),part,-,47,A2,
було б,/buˈlo b/,would be,phrase,-,47,A2,
гіпотетичний,/ɦʲipotɛˈtɪtʃnɪj/,hypothetical,adj,-,47,A2,
мав би,/mɑv bɪ/,should (m),phrase,-,47,A2,
могли б,/moɦˈlɪ b/,could (pl/formal),phrase,-,47,A2,
можливість,/moʒˈlɪvʲistʲ/,possibility,noun,f,47,A2,
мрія,/ˈmrʲijɑ/,dream,noun,f,47,A2,
мріяти,/mrʲiˈjɑtɪ/,to dream,verb,-,47,A2,
на жаль,/nɑ ʒɑlʲ/,unfortunately,phrase,-,47,A2,
уявити,/ujɑˈvɪtɪ/,to imagine (perf),verb,-,47,A2,
уявляти,/ujɑvˈlʲɑtɪ/,to imagine (impf),verb,-,47,A2,
уявний,/ujɑvˈnɪj/,"imaginary, hypothetical",adj,-,47,A2,
хотів би,/xoˈtʲiv bɪ/,would like (m),phrase,-,47,A2,
хотіла б,/xoˈtʲilɑ b/,would like (f),phrase,-,47,A2,
шкода,/ˈʃkodɑ/,"pity, shame",noun,f,47,A2,
якби,/jɑkˈbɪ/,if (unreal),conj,-,47,A2,
акція,/ˈɑktsʲijɑ/,"promotion, sale",noun,f,48,A2,
батарея,/bɑtɑˈrɛjɑ/,battery,noun,f,48,A2,
бездротовий,/bɛzdroˈtovɪj/,wireless,adj,-,48,A2,
водонепроникний,/vodonɛproˈnɪknɪj/,waterproof,adj,-,48,A2,
дефект,/dɛˈfɛkt/,defect,noun,m,48,A2,
екран,/ɛˈkrɑn/,screen,noun,m,48,A2,
зарядка,/zɑˈrʲɑdkɑ/,charger,noun,f,48,A2,
навушники,/nɑˈvuʃnɪkɪ/,headphones,noun,m,48,A2,pl-only
